arvikol,ミズハタネズミ
arĉ,弓
arĝent,銀
arĝentan,洋銀
arĝirol,アルジロール
arĥa,古風
arĥaik,古代
arĥaj,古風
arĥe,考古
arĥiloĥ,アルキロコス
arĥipelag,諸島
arĥitekt,建築家
arĥitektur,建築
arĥitrav,アーキトレーブ
arĥiv,アーカイブ
arĥ…,arkへ…
arŝin,アルシン
as-temp,as-時間
asafetid,阿魏
asam,アッサム
asami,アッサム
asbest,石綿
ascend,登る
ascensi,天体上昇
ascidi,ホヤ類
ascit,腹水
asdik,ソナー
asekur,保険
asembl,アセンブル
asemble,総会
asert,断言する
asesor,陪席判事
asfalt,アスファルト
asfiksi,窒息
asfodel,ツルボラン
asidu,皆勤
asign,割当
asignat,アッシニャ
asimil,同化する
asimptot,漸近線
asindet,接続詞省略
asir,アッシリア
asiri,アッシリア
asist,手伝う
asistoli,心収縮不全
asiz,重罪裁判
ask,子嚢
askalon,シャロット
askarid,回虫
asket,禁欲
aski,アスキー
asklepi,アスクレピオス
asklepiad,トウワタ
asklepiadac,ガガイモ科
askomicet,子嚢菌
askomikot,子嚢菌門
askorb,抗壊血
asmer,アスマラ
asoci,協会
asok,アショーカ
asonanc,母音押韻
asparag,アスパラガス
asparagin,アスパラギン
aspart,アスパラギン酸
aspazi,アスパシア
aspekt,見える
asperg,散水
aspergil,アスペルギルス
asperul,クルマバソウ
aspid,エジプトコブラ
aspidistr,ハラン
aspik,アスピック
aspir,熱望
aspiraci,帯気
aspirator,吸引器
aspirin,アスピリン
aspleni,チャセンシダ
aspr,粗い
astak,ザリガニ
astan,アスタナ
astart,アスタルテ
astat,無定位
astaten,アスタチン
asten,軟流
asteni,衰弱
aster,シオン
asterac,キク科
asteri,ヒトデ
asteried,イトマキヒトデ科
asterisk,アステリスク
asteroid,小惑星
asterolin,アステロリノン属
asterozo,星形動物
astianaks,アステュアナクス
astigmat,乱視
astilb,アスチルベ
astm,喘息
astr,天体
astragal,ゲンゲ
astrakan,アストラカン
astrakant,トゲゲンゲ属
astraĥan,アストラハン
astre,ツチグリ属
astrolab,アストロラーベ
astronaŭt,宇宙飛行士
astronaŭtik,宇宙航行学
astronomi,天文学
asturi,アストゥーリアス
asuncion,アスンシオン
asvan,アスワン
at,受動継続
atak,攻撃する
atakam,アタカマ
ataksi,運動失調
atalant,アタランテ
atalj,アタリヤ
ataman,アタマン
atanazi,アタナシウス
ataraksi,平静心
atav,先祖返り
